score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.64246666,15.876724,4800.0,600.0,2.0,5,1,62,2,Lee2019-MI,MDM
0.5715889,15.911793,4800.0,600.0,2.0,4,1,62,2,Lee2019-MI,MDM
0.6094667,16.044374,4800.0,600.0,2.0,3,1,62,2,Lee2019-MI,MDM
0.60094446,16.372498,4800.0,600.0,2.0,2,1,62,2,Lee2019-MI,MDM
0.62223333,15.909696,4800.0,600.0,2.0,1,1,62,2,Lee2019-MI,MDM
0.7816,3.8433552,4800.0,600.0,2.0,9,1,62,2,Lee2019-MI,CSP+LDA
0.65047777,3.3767984,4800.0,600.0,2.0,8,1,62,2,Lee2019-MI,CSP+LDA
0.5833333,3.3762155,4800.0,600.0,2.0,7,1,62,2,Lee2019-MI,CSP+LDA
0.59264445,3.402991,4800.0,600.0,2.0,6,1,62,2,Lee2019-MI,CSP+LDA
0.66844445,3.3895833,4800.0,600.0,2.0,5,1,62,2,Lee2019-MI,CSP+LDA
0.6685333,3.382689,4800.0,600.0,2.0,4,1,62,2,Lee2019-MI,CSP+LDA
0.67631114,3.363564,4800.0,600.0,2.0,3,1,62,2,Lee2019-MI,CSP+LDA
0.66645557,3.4098933,4800.0,600.0,2.0,2,1,62,2,Lee2019-MI,CSP+LDA
0.8164222,3.489033,4800.0,600.0,2.0,1,1,62,2,Lee2019-MI,CSP+LDA
0.77044445,26.168451,4800.0,600.0,2.0,9,1,62,2,Lee2019-MI,TS+SVM
0.6835667,25.898464,4800.0,600.0,2.0,8,1,62,2,Lee2019-MI,TS+SVM
0.6712889,25.689363,4800.0,600.0,2.0,7,1,62,2,Lee2019-MI,TS+SVM
0.6843111,25.861576,4800.0,600.0,2.0,6,1,62,2,Lee2019-MI,TS+SVM
0.7380667,25.918797,4800.0,600.0,2.0,5,1,62,2,Lee2019-MI,TS+SVM
0.70882225,25.844078,4800.0,600.0,2.0,4,1,62,2,Lee2019-MI,TS+SVM
0.8086889,26.048018,4800.0,600.0,2.0,3,1,62,2,Lee2019-MI,TS+SVM
0.7548444,26.707525,4800.0,600.0,2.0,2,1,62,2,Lee2019-MI,TS+SVM
0.84911114,26.196226,4800.0,600.0,2.0,1,1,62,2,Lee2019-MI,TS+SVM
0.70739233,3.2612095,4366.0,552.0,2.0,1,0,64,1,PhysionetMotorImagery,CSP+LDA
0.65345603,3.3204887,4368.0,550.0,2.0,9,0,64,1,PhysionetMotorImagery,CSP+LDA
0.7047285,3.1651008,4342.0,576.0,2.0,8,0,64,1,PhysionetMotorImagery,CSP+LDA
0.81191784,3.29671,4378.0,540.0,2.0,7,0,64,1,PhysionetMotorImagery,CSP+LDA
0.66066355,3.194247,4378.0,540.0,2.0,6,0,64,1,PhysionetMotorImagery,CSP+LDA
0.6546592,3.1829734,4378.0,540.0,2.0,5,0,64,1,PhysionetMotorImagery,CSP+LDA
0.70965487,3.1887958,4378.0,540.0,2.0,4,0,64,1,PhysionetMotorImagery,CSP+LDA
0.6139167,3.1855707,4378.0,540.0,2.0,3,0,64,1,PhysionetMotorImagery,CSP+LDA
0.741036,3.2052188,4378.0,540.0,2.0,2,0,64,1,PhysionetMotorImagery,CSP+LDA
0.69298846,27.743284,4366.0,552.0,2.0,1,0,64,1,PhysionetMotorImagery,TS+SVM
0.613282,27.719473,4368.0,550.0,2.0,9,0,64,1,PhysionetMotorImagery,TS+SVM
0.6794464,27.189741,4342.0,576.0,2.0,8,0,64,1,PhysionetMotorImagery,TS+SVM
0.7198041,28.797506,4378.0,540.0,2.0,7,0,64,1,PhysionetMotorImagery,TS+SVM
0.68951696,27.661976,4378.0,540.0,2.0,6,0,64,1,PhysionetMotorImagery,TS+SVM
0.61838984,27.73038,4378.0,540.0,2.0,5,0,64,1,PhysionetMotorImagery,TS+SVM
0.67110676,27.992409,4378.0,540.0,2.0,4,0,64,1,PhysionetMotorImagery,TS+SVM
0.62744373,27.564093,4378.0,540.0,2.0,3,0,64,1,PhysionetMotorImagery,TS+SVM
0.71525216,28.860687,4378.0,540.0,2.0,2,0,64,1,PhysionetMotorImagery,TS+SVM
0.54234505,16.050322,4366.0,552.0,2.0,1,0,64,1,PhysionetMotorImagery,MDM
0.5297338,15.992356,4368.0,550.0,2.0,9,0,64,1,PhysionetMotorImagery,MDM
0.5145038,15.234122,4342.0,576.0,2.0,8,0,64,1,PhysionetMotorImagery,MDM
0.54393065,16.23242,4378.0,540.0,2.0,7,0,64,1,PhysionetMotorImagery,MDM
0.5350647,15.9848585,4378.0,540.0,2.0,6,0,64,1,PhysionetMotorImagery,MDM
0.5736567,16.000397,4378.0,540.0,2.0,5,0,64,1,PhysionetMotorImagery,MDM
0.52060467,16.006525,4378.0,540.0,2.0,4,0,64,1,PhysionetMotorImagery,MDM
0.5348397,15.994918,4378.0,540.0,2.0,3,0,64,1,PhysionetMotorImagery,MDM
0.5483636,16.157349,4378.0,540.0,2.0,2,0,64,1,PhysionetMotorImagery,MDM
